"date","year","month","day","4535002"
1991-03-01,"1991","03","01",121.286
1991-04-01,"1991","04","01",83.732
1991-05-01,"1991","05","01",61.484
1991-06-01,"1991","06","01",42.619
1991-07-01,"1991","07","01",44.006
1991-08-01,"1991","08","01",59.303
1991-09-01,"1991","09","01",82.291
1991-10-01,"1991","10","01",116.433
1991-11-01,"1991","11","01",143.998
1991-12-01,"1991","12","01",151.974
1992-01-01,"1992","01","01",158.241
1992-02-01,"1992","02","01",132.186
1992-03-01,"1992","03","01",117.108
1992-04-01,"1992","04","01",77.359
1992-05-01,"1992","05","01",52.979
1992-06-01,"1992","06","01",38.721
1992-07-01,"1992","07","01",44.332
1992-08-01,"1992","08","01",61.261
1992-09-01,"1992","09","01",84.277
1992-10-01,"1992","10","01",122.609
1992-11-01,"1992","11","01",139.367
1992-12-01,"1992","12","01",161.584
1993-01-01,"1993","01","01",154.48
1993-02-01,"1993","02","01",126.478
1993-03-01,"1993","03","01",120.902
1993-04-01,"1993","04","01",82.126
1993-05-01,"1993","05","01",51.461
1993-06-01,"1993","06","01",46.571
1993-07-01,"1993","07","01",48.057
1993-08-01,"1993","08","01",66.594
1993-09-01,"1993","09","01",80.459
1993-10-01,"1993","10","01",115.882
1993-11-01,"1993","11","01",147.173
1993-12-01,"1993","12","01",160.115
1994-01-01,"1994","01","01",154.589
1994-02-01,"1994","02","01",128.566
1994-03-01,"1994","03","01",117.97
1994-04-01,"1994","04","01",85.222
1994-05-01,"1994","05","01",63.815
1994-06-01,"1994","06","01",48.797
1994-07-01,"1994","07","01",46.177
1994-08-01,"1994","08","01",64.746
1994-09-01,"1994","09","01",91.694
1994-10-01,"1994","10","01",120.169
1994-11-01,"1994","11","01",149.06
1994-12-01,"1994","12","01",165.69
1995-01-01,"1995","01","01",159.439
1995-02-01,"1995","02","01",128.984
1995-03-01,"1995","03","01",123.097
1995-04-01,"1995","04","01",87.29
1995-05-01,"1995","05","01",66.258
1995-06-01,"1995","06","01",49.527
1995-07-01,"1995","07","01",44.016
1995-08-01,"1995","08","01",63.022
1995-09-01,"1995","09","01",84.543
1995-10-01,"1995","10","01",123.916
1995-11-01,"1995","11","01",147.481
1995-12-01,"1995","12","01",159.084
1996-01-01,"1996","01","01",151.219
1996-02-01,"1996","02","01",136.503
1996-03-01,"1996","03","01",119.638
1996-04-01,"1996","04","01",79.632
1996-05-01,"1996","05","01",63.107
1996-06-01,"1996","06","01",45.099
1996-07-01,"1996","07","01",52.297
1996-08-01,"1996","08","01",59.138
1996-09-01,"1996","09","01",86.712
1996-10-01,"1996","10","01",119.881
1996-11-01,"1996","11","01",150.114
1996-12-01,"1996","12","01",159.89
1997-01-01,"1997","01","01",156.568
1997-02-01,"1997","02","01",135.662
1997-03-01,"1997","03","01",120.531
1997-04-01,"1997","04","01",90.695
1997-05-01,"1997","05","01",62.676
1997-06-01,"1997","06","01",36.179
1997-07-01,"1997","07","01",48.788
1997-08-01,"1997","08","01",62.547
1997-09-01,"1997","09","01",76.626
1997-10-01,"1997","10","01",99.132
1997-11-01,"1997","11","01",139.193
1997-12-01,"1997","12","01",162.272
1998-01-01,"1998","01","01",168.837
1998-02-01,"1998","02","01",126.567
1998-03-01,"1998","03","01",120.05
1998-04-01,"1998","04","01",77.327
1998-05-01,"1998","05","01",60.048
1998-06-01,"1998","06","01",45.337
1998-07-01,"1998","07","01",50.801
1998-08-01,"1998","08","01",66.27
1998-09-01,"1998","09","01",80.888
1998-10-01,"1998","10","01",126.135
1998-11-01,"1998","11","01",148.003
1998-12-01,"1998","12","01",159.791
1999-01-01,"1999","01","01",152.253
1999-02-01,"1999","02","01",130.577
1999-03-01,"1999","03","01",115.989
1999-04-01,"1999","04","01",86.208
1999-05-01,"1999","05","01",60.64
1999-06-01,"1999","06","01",45.188
1999-07-01,"1999","07","01",47.329
1999-08-01,"1999","08","01",62.713
1999-09-01,"1999","09","01",73.09
1999-10-01,"1999","10","01",107.516
1999-11-01,"1999","11","01",140.182
1999-12-01,"1999","12","01",159.584
2000-01-01,"2000","01","01",159.772
2000-02-01,"2000","02","01",133.614
2000-03-01,"2000","03","01",117.843
2000-04-01,"2000","04","01",82.335
2000-05-01,"2000","05","01",56.198
2000-06-01,"2000","06","01",38.34
2000-07-01,"2000","07","01",46.792
2000-08-01,"2000","08","01",61.828
2000-09-01,"2000","09","01",77.135
2000-10-01,"2000","10","01",119.865
2000-11-01,"2000","11","01",138.786
2000-12-01,"2000","12","01",162.519
2001-01-01,"2001","01","01",156.171
2001-02-01,"2001","02","01",129.185
2001-03-01,"2001","03","01",115.218
2001-04-01,"2001","04","01",80.978
2001-05-01,"2001","05","01",54.189
2001-06-01,"2001","06","01",47.918
2001-07-01,"2001","07","01",45.954
2001-08-01,"2001","08","01",57.86
2001-09-01,"2001","09","01",72.856
2001-10-01,"2001","10","01",119.542
2001-11-01,"2001","11","01",141.804
2001-12-01,"2001","12","01",160.546
2002-01-01,"2002","01","01",156.494
2002-02-01,"2002","02","01",131.518
2002-03-01,"2002","03","01",122.514
2002-04-01,"2002","04","01",80.533
2002-05-01,"2002","05","01",54.491
2002-06-01,"2002","06","01",42.814
2002-07-01,"2002","07","01",45.073
2002-08-01,"2002","08","01",58.353
2002-09-01,"2002","09","01",80.261
2002-10-01,"2002","10","01",117.726
2002-11-01,"2002","11","01",142.664
2002-12-01,"2002","12","01",158.546
2003-01-01,"2003","01","01",161.344
2003-02-01,"2003","02","01",130.79
2003-03-01,"2003","03","01",120.648
2003-04-01,"2003","04","01",83.685
2003-05-01,"2003","05","01",60.264
2003-06-01,"2003","06","01",45.623
2003-07-01,"2003","07","01",47.086
2003-08-01,"2003","08","01",66.896
2003-09-01,"2003","09","01",86.26
2003-10-01,"2003","10","01",125.866
2003-11-01,"2003","11","01",145.639
2003-12-01,"2003","12","01",161.143
2004-01-01,"2004","01","01",154.652
2004-02-01,"2004","02","01",132.87
2004-03-01,"2004","03","01",120.345
2004-04-01,"2004","04","01",80.145
2004-05-01,"2004","05","01",59.482
2004-06-01,"2004","06","01",48.514
2004-07-01,"2004","07","01",48.029
2004-08-01,"2004","08","01",56.329
2004-09-01,"2004","09","01",87.181
2004-10-01,"2004","10","01",115.552
2004-11-01,"2004","11","01",135.127
2004-12-01,"2004","12","01",162.055
2005-01-01,"2005","01","01",154.766
2005-02-01,"2005","02","01",132.054
2005-03-01,"2005","03","01",115.498
2005-04-01,"2005","04","01",85.037
2005-05-01,"2005","05","01",54.207
2005-06-01,"2005","06","01",43.302
2005-07-01,"2005","07","01",48.357
2005-08-01,"2005","08","01",59.423
2005-09-01,"2005","09","01",73.562
2005-10-01,"2005","10","01",110.002
2005-11-01,"2005","11","01",144.668
2005-12-01,"2005","12","01",157.065
2006-01-01,"2006","01","01",157.275
2006-02-01,"2006","02","01",128.396
2006-03-01,"2006","03","01",121.361
2006-04-01,"2006","04","01",86.774
2006-05-01,"2006","05","01",63.135
2006-06-01,"2006","06","01",46.096
2006-07-01,"2006","07","01",46.798
2006-08-01,"2006","08","01",61.711
2006-09-01,"2006","09","01",85.902
2006-10-01,"2006","10","01",118.294
2006-11-01,"2006","11","01",147.953
2006-12-01,"2006","12","01",164.972
2007-01-01,"2007","01","01",158.375
2007-02-01,"2007","02","01",128.055
2007-03-01,"2007","03","01",117.981
2007-04-01,"2007","04","01",83.208
2007-05-01,"2007","05","01",57.669
2007-06-01,"2007","06","01",42.173
2007-07-01,"2007","07","01",46.833
2007-08-01,"2007","08","01",55.58
2007-09-01,"2007","09","01",80.694
2007-10-01,"2007","10","01",119.731
2007-11-01,"2007","11","01",148.137
2007-12-01,"2007","12","01",158.396
2008-01-01,"2008","01","01",156.041
2008-02-01,"2008","02","01",133.426
2008-03-01,"2008","03","01",114.815
2008-04-01,"2008","04","01",81.002
2008-05-01,"2008","05","01",58.026
2008-06-01,"2008","06","01",44.684
2008-07-01,"2008","07","01",46.899
2008-08-01,"2008","08","01",58.666
2008-09-01,"2008","09","01",78.353
2008-10-01,"2008","10","01",117.596
2008-11-01,"2008","11","01",147.649
2008-12-01,"2008","12","01",159.229
2009-01-01,"2009","01","01",156.243
2009-02-01,"2009","02","01",129.597
2009-03-01,"2009","03","01",121.495
2009-04-01,"2009","04","01",89.753
