"date","year","month","day","4535002"
1990-11-01,1990,11,1,0
1990-12-01,1990,12,1,0
1991-01-01,1991,1,1,0
1991-02-01,1991,2,1,0
1991-03-01,1991,3,1,0
1991-04-01,1991,4,1,9.06430662
1991-05-01,1991,5,1,63.40424097
1991-06-01,1991,6,1,192.491943503
1991-07-01,1991,7,1,80.266299134
1991-08-01,1991,8,1,14.374817
1991-09-01,1991,9,1,41.2472138536
1991-10-01,1991,10,1,0.2186171999
1991-11-01,1991,11,1,0.06704817635
1991-12-01,1991,12,1,3.92846902
1992-01-01,1992,1,1,0.010506485
1992-02-01,1992,2,1,2.39512998775
1992-03-01,1992,3,1,30.821163432
1992-04-01,1992,4,1,27.91400899353
1992-05-01,1992,5,1,49.4695321432
1992-06-01,1992,6,1,224.36717787
1992-07-01,1992,7,1,15.657158744
1992-08-01,1992,8,1,82.49840385
1992-09-01,1992,9,1,0.22566901
1992-10-01,1992,10,1,0
1992-11-01,1992,11,1,10.203071676
1992-12-01,1992,12,1,0
1993-01-01,1993,1,1,0
1993-02-01,1993,2,1,14.00233310454
1993-03-01,1993,3,1,0
1993-04-01,1993,4,1,37.73966403
1993-05-01,1993,5,1,123.13561433501
1993-06-01,1993,6,1,9.6941789
1993-07-01,1993,7,1,29.24753074536
1993-08-01,1993,8,1,26.208945892
1993-09-01,1993,9,1,11.1673405
1993-10-01,1993,10,1,2.58897599432
1993-11-01,1993,11,1,0.47960133
1993-12-01,1993,12,1,0
1994-01-01,1994,1,1,0
1994-02-01,1994,2,1,0.7111893106
1994-03-01,1994,3,1,0
1994-04-01,1994,4,1,0.00248755
1994-05-01,1994,5,1,9.784622746
1994-06-01,1994,6,1,21.5621026269
1994-07-01,1994,7,1,61.05173778
1994-08-01,1994,8,1,15.32255235725
1994-09-01,1994,9,1,0.10074359
1994-10-01,1994,10,1,0.31371579313
1994-11-01,1994,11,1,0.00099285262
1994-12-01,1994,12,1,0
1995-01-01,1995,1,1,12.881987638
1995-02-01,1995,2,1,0.037937073
1995-03-01,1995,3,1,0
1995-04-01,1995,4,1,16.6445086818
1995-05-01,1995,5,1,0
1995-06-01,1995,6,1,21.6559531839
1995-07-01,1995,7,1,21.4278658616
1995-08-01,1995,8,1,7.49029099
1995-09-01,1995,9,1,12.44518259133
1995-10-01,1995,10,1,0.43903669
1995-11-01,1995,11,1,0.65583914606
1995-12-01,1995,12,1,9.33531638
1996-01-01,1996,1,1,0.0930150753
1996-02-01,1996,2,1,0
1996-03-01,1996,3,1,0
1996-04-01,1996,4,1,37.5647681
1996-05-01,1996,5,1,0.16443256
1996-06-01,1996,6,1,34.569716666
1996-07-01,1996,7,1,26.731854713
1996-08-01,1996,8,1,100.42858731479
1996-09-01,1996,9,1,9.3798173
1996-10-01,1996,10,1,8.7560563
1996-11-01,1996,11,1,0
1996-12-01,1996,12,1,0
1997-01-01,1997,1,1,0.00026967629
1997-02-01,1997,2,1,1.1830427288
1997-03-01,1997,3,1,5.1431934024
1997-04-01,1997,4,1,0
1997-05-01,1997,5,1,35.45059824
1997-06-01,1997,6,1,372.2709760698
1997-07-01,1997,7,1,42.610970335
1997-08-01,1997,8,1,167.1797917
1997-09-01,1997,9,1,31.9866953061
1997-10-01,1997,10,1,69.5561509149
1997-11-01,1997,11,1,0.35608025
1997-12-01,1997,12,1,0.00670375804
1998-01-01,1998,1,1,0
1998-02-01,1998,2,1,17.5697496701
1998-03-01,1998,3,1,9.168798586
1998-04-01,1998,4,1,49.2631133
1998-05-01,1998,5,1,14.3649924
1998-06-01,1998,6,1,37.2966437101
1998-07-01,1998,7,1,1.06104385
1998-08-01,1998,8,1,1.760556373
1998-09-01,1998,9,1,3.5516236
1998-10-01,1998,10,1,0
1998-11-01,1998,11,1,0
1998-12-01,1998,12,1,0
1999-01-01,1999,1,1,0.20729886739
1999-02-01,1999,2,1,0
1999-03-01,1999,3,1,11.44655160966
1999-04-01,1999,4,1,17.1154603
1999-05-01,1999,5,1,23.0936374
1999-06-01,1999,6,1,33.712245874
1999-07-01,1999,7,1,1.5369975533
1999-08-01,1999,8,1,40.531365482
1999-09-01,1999,9,1,67.0018267
1999-10-01,1999,10,1,17.6726083986
1999-11-01,1999,11,1,0.12419517
1999-12-01,1999,12,1,0.018500033
2000-01-01,2000,1,1,0
2000-02-01,2000,2,1,0.54093507
2000-03-01,2000,3,1,0
2000-04-01,2000,4,1,15.4359125401
2000-05-01,2000,5,1,26.637483153
2000-06-01,2000,6,1,169.783325266
2000-07-01,2000,7,1,41.9435397525
2000-08-01,2000,8,1,2.763300556
2000-09-01,2000,9,1,74.007897354
2000-10-01,2000,10,1,2.85900348627
2000-11-01,2000,11,1,0.686718167
2000-12-01,2000,12,1,0
2001-01-01,2001,1,1,0
2001-02-01,2001,2,1,3.23144822
2001-03-01,2001,3,1,25.0232012
2001-04-01,2001,4,1,6.663242835
2001-05-01,2001,5,1,37.83306565
2001-06-01,2001,6,1,0
2001-07-01,2001,7,1,142.124280799
2001-08-01,2001,8,1,58.103352853
2001-09-01,2001,9,1,24.089228163
2001-10-01,2001,10,1,5.7033377382
