system:index,date,.geo
88,1991-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,1991-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,1991-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,1991-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,1991-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,1991-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,1991-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,1991-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,1991-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,1991-07-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,1991-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,1991-08-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,1991-09-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,1991-09-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,1991-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,1991-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,1991-10-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,1991-10-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,1992-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,1992-04-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,1992-06-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,1992-07-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,1992-07-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,1992-08-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,1992-08-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,1992-09-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,1992-11-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,1992-11-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
